Time ,Status,Data,Parametes
['2023-11-09 13:07:39'],Going towards goal : ,"Distance: 25, Speed: 0, Dir: 28",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:39'],Going towards goal : ,"Distance: 25, Speed: 0, Dir: 28",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:40'],Going towards goal : ,"Distance: 25, Speed: 0, Dir: 28",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:40'],Going towards goal : ,"Distance: 25, Speed: 0, Dir: 28",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:40'],Going towards goal : ,"Distance: 24, Speed: 0, Dir: 28",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:40'],Going towards goal : ,"Distance: 24, Speed: 0, Dir: 28",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:40'],Going towards goal : ,"Distance: 24, Speed: 0, Dir: 28",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:40'],Going towards goal : ,"Distance: 24, Speed: 0, Dir: 28",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:40'],Going towards goal : ,"Distance: 24, Speed: 0, Dir: 28",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:40'],Going towards goal : ,"Distance: 24, Speed: 101, Dir: 0",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:41'],Going towards goal : ,"Distance: 25, Speed: 102, Dir: 0",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:41'],Going towards goal : ,"Distance: 25, Speed: 102, Dir: 0",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:41'],Going towards goal : ,"Distance: 25, Speed: 102, Dir: 0",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:41'],Going towards goal : ,"Distance: 23, Speed: 101, Dir: 0",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:41'],Going towards goal : ,"Distance: 23, Speed: 101, Dir: 0",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:41'],Going towards goal : ,"Distance: 21, Speed: 0, Dir: -28",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:41'],Going towards goal : ,"Distance: 19, Speed: 0, Dir: -28",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:42'],Going towards goal : ,"Distance: 17, Speed: 0, Dir: -28",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:42'],Going towards goal : ,"Distance: 16, Speed: 0, Dir: -28",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:42'],Going towards goal : ,"Distance: 16, Speed: 0, Dir: -28",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:42'],Going towards goal : ,"Distance: 16, Speed: 100, Dir: 0",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:42'],Going towards goal : ,"Distance: 16, Speed: 100, Dir: 0",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:42'],Going towards goal : ,"Distance: 16, Speed: 100, Dir: 0",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:42'],Going towards goal : ,"Distance: 16, Speed: 100, Dir: 0",distance_error_factor: 5angle_error_factor: 3
,,,
